YEAR,MONTH,TOD,SHARED_TRIPS,PRIVATE_TRIPS,ALL_TRIPS
2018,11,1,5510.271162858232,16477.59458248253,21987.865745340903
2018,11,2,3364.1757056210254,11638.001659299951,15002.177364920972
2018,11,3,8116.288200687777,27112.281225688166,35228.56942637567
2018,11,4,10047.27406243382,20601.121755550157,30648.39581798385
2018,11,5,7777.2771991538375,21657.999062702387,29435.276261856197
2018,12,1,5323.878137360672,16167.045513593243,21490.92365095394
2018,12,2,2977.7982697467996,10658.010016467342,13635.808286214096
2018,12,3,7681.996793499329,26812.345274035364,34494.34206753472
2018,12,4,9232.922899602052,20561.763510631306,29794.686410233433
2018,12,5,7395.9419152736355,21399.785147107264,28795.727062380854
2019,1,1,5505.443331149828,15539.851245332307,21045.294576482138
2019,1,2,3448.818200826346,11874.456900411376,15323.275101237712
2019,1,3,8709.514234245558,27370.088745890203,36079.60298013571
2019,1,4,10345.334974447927,20142.418279104262,30487.753253552237
2019,1,5,7486.636077281428,19814.785504032163,27301.421581313592
2019,2,1,5399.15471667623,15372.217962978964,20771.37267965522
2019,2,2,3627.1636672769873,13221.993597774417,16849.157265051348
2019,2,3,8811.891450268897,30287.727255017715,39099.618705286644
2019,2,4,10317.35343381419,21295.647934967474,31613.001368781534
2019,2,5,8113.338109591804,22587.620701743668,30700.95881133548
2019,3,1,5664.645505302729,16689.560105252247,22354.20561055492
2019,3,2,3440.911707552422,13741.366898209879,17182.278605762327
2019,3,3,8471.507231302794,30808.20690303027,39279.71413433331
2019,3,4,9765.421772773521,22743.80030948585,32509.22208225945
2019,3,5,7795.095894869208,23706.01931644521,31501.115211314223
2019,4,1,4925.646674709591,16234.630184221553,21160.276858931145
2019,4,2,3010.125171598055,13346.628169292782,16356.753340890862
2019,4,3,7544.765816392316,30787.249477642443,38332.01529403463
2019,4,4,8736.71866757902,21619.429056698224,30356.147724277416
2019,4,5,6944.854454840861,23262.034744732806,30206.889199573707
2019,5,1,4904.285959170033,18044.138460295217,22948.42441946535
2019,5,2,2609.8846981002375,13409.448316847502,16019.333014947724
2019,5,3,7081.9936792512835,33634.56985053179,40716.56352978321
2019,5,4,7839.873746484225,23033.264045651977,30873.13779213629
2019,5,5,6074.0575726277775,23777.446849378513,29851.504422006223
2019,6,1,4012.394896595817,18352.81099861328,22365.20589520904
2019,6,2,2078.238014588476,13243.950378302727,15322.188392891256
2019,6,3,5524.3080276446,33377.209655997474,38901.51768364221
2019,6,4,6288.253291498066,23548.27001724507,29836.52330874318
2019,6,5,5036.018010406783,24733.28497209088,29769.3029824977
2019,7,1,3668.18532872871,19297.73998611228,22965.925314841064
2019,7,2,1803.1148896073125,12746.144962993612,14549.259852600884
2019,7,3,4646.218373081647,32666.782898628353,37313.00127171003
2019,7,4,5069.426377568732,24125.428497185636,29194.854874754306
2019,7,5,4015.514817884309,23854.78875763024,27870.303575514616
2019,8,1,3360.7678140877074,19772.9188381548,23133.686652242504
2019,8,2,1672.016852172698,13216.606540680617,14888.62339285337
2019,8,3,4535.569691459093,33287.48036213951,37823.05005359842
2019,8,4,5014.236999421958,25190.043380106174,30204.280379528023
2019,8,5,4008.827797799286,24988.31041081482,28997.13820861416
2019,9,1,2982.331625092261,18267.283522634538,21249.615147726672
2019,9,2,1588.9653026835417,13156.920755370027,14745.886058053584
2019,9,3,4062.3959463498877,32449.320278832474,36511.71622518251
2019,9,4,4532.618118669099,24070.261669860694,28602.879788529932
2019,9,5,3823.9239474881633,24208.62186328542,28032.545810773634
2019,10,1,2819.153259487342,18615.290316974875,21434.443576462247
2019,10,2,1389.4478046804384,14473.26761037911,15862.715415059576
2019,10,3,4009.9720918072953,33547.2970898083,37557.2691816158
2019,10,4,4237.707713764615,26202.76501653865,30440.472730303278
2019,10,5,3661.2401282698715,26223.99386881855,29885.23399708836
2019,11,1,2735.369724110782,19304.4013819333,22039.77110604415
2019,11,2,1373.3881572147493,14031.138706561926,15404.526863776724
2019,11,3,4134.53190779167,33256.75430970037,37391.28621749209
2019,11,4,4234.988426895555,26587.518418859396,30822.506845754986
2019,11,5,3547.3267328305087,26292.704435635722,29840.031168466467
2019,12,1,2823.8151514589267,20320.522899654934,23144.338051113893
2019,12,2,1287.6673816859084,12940.09366175911,14227.761043445014
2019,12,3,4190.460838127856,33940.912473864235,38131.37331199208
2019,12,4,4171.95773668885,26867.312596631036,31039.27033331995
2019,12,5,3619.697775034051,26740.06544856563,30359.763223599777
2020,1,1,3177.012151592983,18547.68620903012,21724.6983606231
2020,1,2,1811.6459323213533,12888.289086111947,14699.935018433305
2020,1,3,5159.760299812409,28791.093105129825,33950.853404942245
2020,1,4,5414.1032803533335,23702.58353237481,29116.68681272826
2020,1,5,4402.986830912563,22779.6727296944,27182.659560606833
2020,2,1,2726.534989351318,18349.423390557204,21075.958379908527
2020,2,2,1847.6707562471652,13885.214804638843,15732.88556088589
2020,2,3,5178.11766148825,32656.256025128634,37834.37368661684
2020,2,4,5107.717601590905,24892.171898936358,29999.889500527242
2020,2,5,4442.970334461503,25544.684239131973,29987.654573593525
