tractce10,geoid10,commarea,countyfp10,statefp10
839000,17031839000,32,31,17
80202,17031080202,8,31,17
839100,17031839100,32,31,17
81201,17031081201,8,31,17
838300,17031838300,8,31,17
81401,17031081401,8,31,17
81300,17031081300,8,31,17
81100,17031081100,8,31,17
81000,17031081000,8,31,17
81900,17031081900,8,31,17
81500,17031081500,8,31,17
81600,17031081600,8,31,17
81700,17031081700,8,31,17
280100,17031280100,28,31,17
842200,17031842200,8,31,17
80400,17031080400,8,31,17
80300,17031080300,8,31,17
80201,17031080201,8,31,17
80100,17031080100,8,31,17
81202,17031081202,8,31,17
81403,17031081403,8,31,17
81402,17031081402,8,31,17
320100,17031320100,32,31,17
320400,17031320400,32,31,17
320600,17031320600,32,31,17
841900,17031841900,28,31,17
281900,17031281900,28,31,17
833100,17031833100,28,31,17
833000,17031833000,28,31,17
243400,17031243400,24,31,17
243500,17031243500,24,31,17
81800,17031081800,8,31,17
243300,17031243300,24,31,17
